,bike_name,price,kms_driven,age,brand,Owner_Type
5193,Royal Enfield Electra,90000,14330,3,Royal Enfield,0
5194,Royal Enfield Thunderbird,55000,15000,12,Royal Enfield,2
5195,Royal Enfield Classic,119000,14735,5,Royal Enfield,0
5196,Bajaj Pulsar 220cc,26000,55686,9,Bajaj,2
5197,Royal Enfield Thunderbird,113000,14200,4,Royal Enfield,0
5198,Bajaj Pulsar 150cc,40000,75000,8,Bajaj,0
5199,Bajaj Pulsar 150cc,32000,21000,5,Bajaj,0
5201,Yamaha YZF-R15 2.0,66400,27481,7,Yamaha,2
5202,Honda CBR 150R,67000,43871,6,Honda,0
5203,KTM RC 390cc,110000,25327,5,KTM,0
5204,Bajaj Avenger 220cc,41000,71303,6,Bajaj,0
5205,Bajaj Pulsar 180cc,20000,57500,14,Bajaj,2
5206,Hero CD Deluxe,11000,20000,12,Hero,0
5207,Royal Enfield Classic,109000,13000,6,Royal Enfield,0
5208,Bajaj Pulsar 220F,63000,21000,4,Bajaj,0
5209,Bajaj V15 150cc,41999,54362,4,Bajaj,0
5210,Royal Enfield Himalayan,140000,9000,5,Royal Enfield,0
5211,Yamaha FZs 150cc,45000,32375,8,Yamaha,0
5212,Bajaj Pulsar 220F,61000,41000,7,Bajaj,0
5213,Honda Dream Yuga,38000,16500,9,Honda,0
5214,Honda CBR 150R,75500,23800,7,Honda,0
5215,Suzuki Intruder 150cc,125000,700,3,Suzuki,0
5217,Bajaj V15 150cc,49100,10000,5,Bajaj,0
5218,Royal Enfield Bullet,95000,15288,5,Royal Enfield,2
5219,Bajaj Pulsar RS200,85000,26000,6,Bajaj,0
5220,Royal Enfield Bullet,110000,26927,6,Royal Enfield,0
5221,Yamaha Gladiator 125cc,20000,38500,12,Yamaha,1
5222,Bajaj Discover150 150cc,28000,25000,7,Bajaj,0
5223,Royal Enfield Classic,109500,13000,8,Royal Enfield,0
5224,Royal Enfield Thunderbird,99000,19000,6,Royal Enfield,0
5225,Bajaj Avenger Street,69999,7054,5,Bajaj,0
5226,Royal Enfield Thunderbird,115000,12000,6,Royal Enfield,0
5227,Hero Passion Plus,24000,6000,10,Hero,0
5228,Hero Xtreme Sports,56000,17330,6,Hero,0
5229,Honda CB Hornet,51000,24800,5,Honda,0
5230,KTM Duke 250cc,155000,7563,3,KTM,0
5231,Royal Enfield Bullet,75068,16919,9,Royal Enfield,0
5232,Bajaj Discover 125ST,24500,21891,7,Bajaj,0
